Date,HRMS phi potential 
1980.001,692.594500931145
1980.086,709.661157642
1980.165,672.896448201545
1980.250,725.876077507705
1980.332,727.892991236346
1980.416,798.35378445352
1980.498,792.383813205505
1980.583,768.19489481482
1980.668,777.001435974146
1980.750,829.193719059905
1980.834,875.816846527121
1980.916,870.267715208
1981.001,771.932141514181
1981.086,832.14671923738
1981.163,838.564542247625
1981.248,875.47808516202
1981.330,916.15514069792
1981.415,830.785837584546
1981.497,798.582489204305
1981.582,792.416388762021
1981.667,768.613376655546
1981.749,872.634539062499
1981.834,853.670551969106
1981.916,785.035052610705
1982.001,741.054756418105
1982.086,838.431334155744
1982.163,752.2937288145
1982.248,735.981908077306
1982.330,716.638197697105
1982.415,869.05148193512
1982.497,1002.7889169545
1982.582,986.744374472
1982.667,1053.63299203291
1982.749,961.608244220346
1982.834,920.332382933625
1982.916,985.39431499818
1983.001,919.019703130705
1983.086,859.951175996421
1983.163,805.684952442
1983.248,800.969068776721
1983.330,900.96071034058
1983.415,844.367132872145
1983.497,785.067510852881
1983.582,795.709193802626
1983.667,779.071570962305
1983.749,766.489684429504
1983.834,747.25525733608
1983.916,746.713915462625
1984.001,682.842014140626
1984.086,705.761550957625
1984.165,742.99227877418
1984.250,764.561017293306
1984.332,850.218923429521
1984.416,797.56984698088
1984.498,773.157930842
1984.583,736.108567329745
1984.668,720.12069650842
1984.750,715.447460440625
1984.834,728.302936642021
1984.916,712.661562082321
1985.001,687.526613798305
1985.086,644.501036747521
1985.163,630.548218375546
1985.248,603.626285572705
1985.330,601.451067964745
1985.415,557.54270842922
1985.497,550.5823947145
1985.582,550.326252815546
1985.667,530.39245123072
1985.749,538.419729015745
1985.834,528.763993174981
1985.916,536.218599218907
1986.001,534.330406642321
1986.086,586.828141109746
1986.163,544.871908665146
1986.248,497.797748504305
1986.330,483.413487715905
1986.415,473.948816583679
1986.497,472.868079042881
1986.582,472.571021823906
1986.667,478.741049065627
1986.749,468.49958535322
1986.834,506.64654300712
1986.916,475.436186824907
1987.001,448.028118408001
1987.086,431.445736436546
1987.163,430.345801263146
1987.248,442.706809704346
1987.330,458.493056965306
1987.415,494.530944056721
1987.497,506.64654300712
1987.582,528.820117832
1987.667,555.342878497306
1987.749,553.032093342721
1987.834,589.042462413625
1987.916,590.034050537345
1988.001,637.16556215528
1988.086,626.75696225792
1988.165,622.825317412881
1988.250,630.936772082321
1988.332,620.20924564072
1988.416,632.521783544505
1988.498,678.998534062501
1988.583,691.14069140512
1988.668,679.490046866021
1988.750,695.53655336282
1988.834,707.91313096552
1988.916,760.228348758981
1989.001,808.112579638821
1989.086,813.404128965625
1989.163,978.301093162181
1989.248,949.64590769448
1989.330,1012.14291561955
1989.415,979.85982044922
1989.497,885.187147648001
1989.582,940.565621097279
1989.667,993.969232012706
1989.749,1092.0977360117
1989.834,1125.19805840475
1989.916,1064.02040691375
1990.001,997.64322676922
1990.086,974.090478757505
1990.163,1014.22638409114
1990.248,1095.13714346563
1990.330,1112.51348250088
1990.415,1081.634883402
1990.497,991.190647812625
1990.582,1005.86717128192
1990.667,957.005602422181
1990.749,891.11483377162
1990.834,854.140130497546
1990.916,858.572587145505
1991.001,789.063833220745
1991.086,793.589454510501
1991.163,1019.11860627363
1991.248,986.779912475145
1991.330,971.122706115546
1991.415,1365.1045026045
1991.497,1327.04432899242
1991.582,1114.23119524298
1991.667,973.595595629746
1991.749,946.324042300705
1991.834,949.540935047625
1991.916,899.38521580032
1992.001,882.025346378305
1992.086,905.316147730146
1992.165,841.163760089106
1992.250,763.276277382505
1992.332,789.356555392001
1992.416,727.92452238378
1992.498,678.322920937281
1992.583,687.742640814022
1992.668,709.598700086981
1992.750,677.985208589505
1992.834,688.8540386705
1992.916,647.908673564345
1993.001,664.101691508105
1993.086,666.448850602001
1993.163,692.346963012506
1993.248,655.107502004506
1993.330,645.70652199712
1993.415,633.958523897626
1993.497,633.269936573381
1993.582,632.043135867546
1993.667,616.263038700346
1993.749,614.811487607781
1993.834,603.449810683106
1993.916,613.03577553098
1994.001,609.430923912001
1994.086,638.095814413906
1994.163,644.13955312872
1994.248,646.249261324421
1994.330,632.192698991621
1994.415,629.622021248001
1994.497,613.834614710945
1994.582,599.689464754146
1994.667,582.96029340032
1994.749,586.15860854122
1994.834,588.342879142345
1994.916,592.04823572768
1995.001,573.229788800001
1995.086,563.328318285121
1995.163,576.785048700305
1995.248,564.70623120672
1995.330,559.115899820145
1995.415,569.826432600581
1995.497,573.200916431545
1995.582,568.15624593792
1995.667,558.228998843781
1995.749,550.52547065888
1995.834,550.724713937626
1995.916,550.895514135346
1996.001,557.88581626202
1996.086,541.95376656762
1996.165,537.43165195322
1996.250,536.077608866181
1996.332,544.928626122945
1996.416,550.895514135346
1996.498,551.436504712
1996.583,554.829076361145
1996.668,559.058665348705
1996.750,571.2099766105
1996.834,576.061799014181
1996.916,565.05089630952
1997.001,530.926291342625
1997.086,518.277313158105
1997.163,517.942944724546
1997.248,524.868416334546
1997.330,517.246583900421
1997.415,523.83315438298
1997.497,529.21304856922
1997.582,518.388785913505
1997.667,526.156489703625
1997.749,535.541963878345
1997.834,541.104857851921
1997.916,540.567457301705
1998.001,556.599547313345
1998.086,555.228685710305
1998.163,546.290468018146
1998.248,621.10063668202
1998.330,654.137881377625
1998.415,652.623913282626
1998.497,620.298363721705
1998.582,650.9600472505
1998.667,612.740005199681
1998.749,585.63481807528
1998.834,607.336575006745
1998.916,636.32576307712
1999.001,681.119132183746
1999.086,683.519306002906
1999.163,672.80461424168
1999.248,662.00100775562
1999.330,672.590353170146
1999.415,634.198096899305
1999.497,620.387486474501
1999.582,686.94038297088
1999.667,737.09045814248
1999.749,754.114585957906
1999.834,765.460829404546
1999.916,786.203876355704
2000.001,765.23583822362
2000.086,793.556860266744
2000.165,846.00403179738
2000.250,826.642193713921
2000.332,900.549605870499
2000.416,956.44405814858
2000.498,1013.75924794472
2000.583,942.44863959658
2000.668,904.93857394218
2000.750,831.980711342106
2000.834,919.710493801305
2000.916,885.459340265281
2001.001,840.3969957345
2001.086,775.450230046945
2001.163,742.99227877418
2001.248,923.098369465625
2001.330,849.281568653121
2001.415,819.600110241105
2001.497,806.701585429345
2001.582,868.03846810682
2001.667,868.376087473921
2001.749,895.177875561106
2001.834,836.168067326105
2001.916,829.7574575905
2002.001,920.436047473681
2002.086,828.033553280582
2002.163,869.896016999746
2002.248,873.480449715625
2002.330,876.020128262501
2002.415,858.102049338745
2002.497,908.201509643706
2002.582,967.488650662721
2002.667,914.948264604946
2002.749,888.796395980421
2002.834,946.184277063946
2002.916,923.686569593381
2003.001,817.884492683946
2003.086,827.669061079706
2003.163,812.055314598021
2003.248,831.515958274305
2003.330,852.228911205121
2003.415,928.18953047528
2003.497,859.648484182625
2003.582,831.383190370745
2003.667,808.473685815627
2003.749,867.02592145952
2003.834,1033.27343685611
2003.916,822.440558019544
2004.001,842.53128194122
2004.086,752.48531856672
2004.165,702.98997429242
2004.250,687.6191936905
2004.332,660.845164767121
2004.416,664.954847810145
2004.498,698.793745969145
2004.583,678.722116508146
2004.668,659.052051818905
2004.750,601.274823551105
2004.834,663.066263119346
2004.916,640.88956426272
2005.001,763.886425281681
2005.086,671.09123786088
2005.163,655.046885142625
2005.248,639.717445143705
2005.330,695.939514412545
2005.415,659.507756692481
2005.497,684.135243895506
2005.582,701.030557112106
2005.667,780.172194978704
2005.749,646.008023082021
2005.834,607.277617156506
2005.916,602.949899978001
2006.001,590.530069624721
2006.086,553.94458915328
2006.163,534.527571484705
2006.248,530.673396351619
2006.330,530.027300177507
2006.415,532.725868317345
2006.497,547.79555778848
2006.582,545.836387832706
2006.667,545.042067267626
2006.749,519.30875305
2006.834,521.597179504581
2006.916,556.485263166505
2007.001,499.86043525018
2007.086,504.712339140421
2007.163,492.83182410138
2007.248,477.710837277105
2007.330,479.63631478538
2007.415,480.206323658345
2007.497,486.000778468881
2007.582,491.29885018282
2007.667,487.773729304706
2007.749,481.836181826945
2007.834,485.510195228419
2007.916,477.602437534505
2008.001,484.012232955746
2008.086,488.073984118079
2008.165,487.309822682001
2008.250,479.85343403002
2008.332,486.736968676745
2008.416,490.177526488626
2008.498,483.331860103621
2008.583,473.327291015626
2008.668,472.085063675345
2008.750,465.971026063681
2008.834,457.397549174081
2008.916,444.822231121145
2009.001,435.959786193305
2009.086,419.630472790181
2009.163,415.094601337306
2009.248,410.445718482706
2009.330,407.355806866306
2009.415,414.758285214501
2009.497,413.82740609642
2009.582,419.786270248721
2009.667,419.448732707146
2009.749,415.016982138
2009.834,413.749863203345
2009.916,408.61661781928
2010.001,415.094601337306
2010.086,442.416199064081
2010.163,464.439984653626
2010.248,489.494220778
2010.330,478.849536015344
2010.415,491.025276139921
2010.497,489.630855965625
2010.582,495.600767666705
2010.667,497.715301767999
2010.749,486.21886945
2010.834,499.722831959706
2010.916,503.99456838568
2011.001,482.679007390501
2011.086,480.206323658345
2011.163,512.325629037545
2011.248,567.379340905906
2011.330,533.907996201345
2011.415,606.12835408928
2011.497,576.466778868481
2011.582,569.07751229312
2011.667,573.893996543306
2011.749,583.861001132504
2011.834,554.829076361145
2011.916,518.639629979921
2012.001,535.203758331506
2012.086,565.194528830345
2012.165,637.375575513346
2012.250,547.369441044905
2012.332,555.7140624145
2012.416,588.19717026152
2012.498,673.60066376842
2012.583,648.723868751119
2012.668,608.309679310181
2012.750,613.68665297952
2012.834,602.508926878625
2012.916,586.828141109746
2013.001,559.716987130501
2013.086,557.943008168081
2013.163,599.366706870181
2013.248,596.640445988625
2013.330,671.427665460905
2013.415,667.60832306778
2013.497,644.621547898
2013.582,631.086239174745
2013.667,628.636617626106
2013.749,594.737660361999
2013.834,607.336575006745
2013.916,632.192698991621
2014.001,634.018414033505
2014.086,678.660696094945
2014.163,659.112805720545
2014.248,644.711936711305
2014.330,620.684596058001
2014.415,672.284310047745
2014.497,652.200234768345
2014.582,623.509726062625
2014.667,663.127154060745
2014.749,665.960875915921
2014.834,681.488184134745
2014.916,733.007806573505
2015.001,681.211388163781
2015.086,674.76475198248
2015.163,716.92032420328
2015.248,689.966109267621
2015.330,658.77868495648
2015.415,674.366426925546
2015.497,632.85093090728
2015.582,632.701310683306
2015.667,636.475697350545
2015.749,631.295514905921
2015.834,621.21952411898
2015.916,601.568574622306
2016.001,564.93599963648
2016.086,535.908437572881
2016.165,545.4675455305
2016.250,555.000325052625
2016.332,545.893140588626
2016.416,538.504450923521
2016.498,545.80801223338
2016.583,527.978465994501
2016.668,526.268547992546
2016.750,505.209462914881
2016.834,486.955171781304
2016.916,482.08082172968
2017.001,468.01503809128
2017.086,459.937252351304
2017.163,451.4809290745
2017.248,475.652662397946
2017.330,478.280072186882
2017.415,474.219130741381
2017.497,494.969750538
2017.582,516.828923132945
2017.667,521.653038387521
2017.749,497.88019991242
2017.834,470.870904114021
2017.916,463.581191818105
2018.001,454.995836009381
2018.086,450.417591430501
2018.163,455.529186682981
2018.248,451.560712879105
2018.330,455.075825373626
2018.415,452.571712108545
2018.497,451.826692635306
2018.582,450.816245717625
2018.667,448.160756602625
2018.749,445.245714065625
2018.834,446.27851046682
2018.916,444.160805054021
2019.001,443.94921723242
2019.086,439.750800976505
2019.163,438.433256537505
2019.248,442.125651233705
2019.330,452.22575959898
2019.415,441.914383171546
2019.497,456.543125000001
2019.582,466.266684335107
2019.667,449.275429779306
2019.749,423.89566198698
2019.834,453.157370051304
2019.916,455.235818117545
2020.001,446.569954765626
2020.165,431.31474375722
2020.250,426.76428230528
2020.332,434.567192050501
2020.416,451.720294503746
2020.498,432.36304855482
2020.583,440.56833024618
2020.668,464.977000102625
2020.750,448.717978731619
2020.834,439.645349665106
2020.916,426.842605390626
2021.001,444.610539481546
2021.086,433.805823774145
2021.163,441.122423819746
2021.248,434.961174527627
2021.330,450.550463215626
