Date,NEWK (month)
1980.001,91.751
1980.086,91.372
1980.165,92.286
1980.250,90.909
1980.332,90.61
1980.416,88.205
1980.498,88.025
1980.583,88.528
1980.668,88.474
1980.750,86.981
1980.834,85.629
1980.916,85.808
1981.001,88.498
1981.086,87.228
1981.163,87.113
1981.248,85.747
1981.330,84.626
1981.415,87.033
1981.497,87.486
1981.582,87.471
1981.667,88.663
1981.749,86.154
1981.834,86.774
1981.916,88.834
1982.001,90.437
1982.086,87.027
1982.163,89.723
1982.248,90.384
1982.330,91.106
1982.415,86.478
1982.497,82.645
1982.582,82.927
1982.667,80.924
1982.749,83.197
1982.834,84.203
1982.916,82.702
1983.001,85.695
1983.086,87.246
1983.163,89.033
1983.248,89.467
1983.330,86.62
1983.415,88.175
1983.497,89.986
1983.582,89.736
1983.667,90.65
1983.749,90.667
1983.834,90.992
1983.916,91.141
1984.001,92.039
1984.086,91.529
1984.165,90.315
1984.250,89.354
1984.332,87.083
1984.416,88.331
1984.498,88.98
1984.583,90.167
1984.668,90.781
1984.750,90.823
1984.834,90.786
1984.916,91.263
1985.001,92.11
1985.086,93.547
1985.163,94.22
1985.248,94.861
1985.330,94.587
1985.415,95.721
1985.497,94.796
1985.582,94.769
1985.667,95.741
1985.749,95.945
1985.834,96.76
1985.916,96.672
1986.001,96.933
1986.086,94.203
1986.163,96.307
1986.248,98.219
1986.330,98.506
1986.415,98.301
1986.497,97.961
1986.582,97.937
1986.667,98.173
1986.749,98.984
1986.834,97.688
1986.916,99.027
1987.001,100.117
1987.086,100.955
1987.163,101.326
1987.248,100.838
1987.330,99.81
1987.415,98.214
1987.497,97.264
1987.582,96.562
1987.667,95.744
1987.749,96.275
1987.834,95.209
1987.916,95.464
1988.001,93.205
1988.086,94.125
1988.165,94.574
1988.250,94.055
1988.332,93.95
1988.416,93.529
1988.498,91.754
1988.583,91.265
1988.668,91.797
1988.750,91.261
1988.834,90.826
1988.916,89.274
1989.001,88.525
1989.086,88.47
1989.163,84.067
1989.248,84.868
1989.330,83.132
1989.415,83.282
1989.497,85.71
1989.582,84.29
1989.667,82.752
1989.749,80.839
1989.834,79.672
1989.916,80.819
1990.001,82.82
1990.086,83.424
1990.163,82.568
1990.248,80.5
1990.330,79.781
1990.415,79.78
1990.497,82.051
1990.582,81.421
1990.667,82.963
1990.749,84.629
1990.834,86.101
1990.916,86.118
1991.001,88.341
1991.086,88.662
1991.163,82.975
1991.248,83.585
1991.330,83.89
1991.415,74.677
1991.497,75.229
1991.582,79.743
1991.667,83.451
1991.749,84.625
1991.834,85.022
1991.916,86.467
1992.001,86.765
1992.086,85.844
1992.165,87.775
1992.250,90.125
1992.332,89.21
1992.416,90.938
1992.498,92.187
1992.583,92.108
1992.668,91.621
1992.750,93.109
1992.834,92.644
1992.916,94.164
1993.001,93.717
1993.086,93.725
1993.163,92.488
1993.248,93.861
1993.330,94.282
1993.415,94.495
1993.497,94.826
1993.582,94.877
1993.667,95.383
1993.749,95.76
1993.834,95.947
1993.916,96.009
1994.001,95.656
1994.086,93.34
1994.163,94.831
1994.248,94.979
1994.330,95.007
1994.415,94.903
1994.497,95.462
1994.582,96.091
1994.667,96.795
1994.749,96.684
1994.834,96.737
1994.916,96.793
1995.001,97.476
1995.086,97.614
1995.163,97.294
1995.248,97.57
1995.330,97.609
1995.415,97.323
1995.497,97.231
1995.582,97.523
1995.667,97.917
1995.749,97.895
1995.834,98.195
1995.916,97.833
1996.001,98.335
1996.086,99.144
1996.165,99.006
1996.250,99.142
1996.332,98.605
1996.416,98.365
1996.498,98.449
1996.583,98.399
1996.668,98.338
1996.750,98.056
1996.834,98.167
1996.916,98.414
1997.001,99.149
1997.086,99.22
1997.163,99.235
1997.248,99.18
1997.330,99.335
1997.415,99.058
1997.497,98.858
1997.582,99.303
1997.667,98.996
1997.749,98.66
1997.834,98.551
1997.916,98.874
1998.001,98.936
1998.086,99.213
1998.163,99.346
1998.248,96.917
1998.330,95.158
1998.415,95.579
1998.497,96.381
1998.582,95.278
1998.667,96.484
1998.749,97.402
1998.834,96.966
1998.916,96.018
1999.001,94.618
1999.086,94.742
1999.163,95.028
1999.248,95.364
1999.330,94.824
1999.415,95.656
1999.497,96.175
1999.582,94.202
1999.667,92.414
1999.749,91.737
1999.834,91.508
1999.916,90.979
2000.001,91.384
2000.086,90.445
2000.165,89.319
2000.250,89.39
2000.332,87.262
2000.416,85.873
2000.498,84.279
2000.583,85.797
2000.668,86.826
2000.750,88.865
2000.834,86.897
2000.916,88.083
2001.001,89.105
2001.086,90.739
2001.163,92.061
2001.248,87.202
2001.330,89.354
2001.415,89.815
2001.497,90.419
2001.582,88.652
2001.667,88.864
2001.749,87.929
2001.834,89.48
2001.916,90.069
2002.001,87.814
2002.086,90.542
2002.163,89.288
2002.248,88.949
2002.330,89.023
2002.415,89.407
2002.497,88.183
2002.582,86.419
2002.667,87.805
2002.749,88.499
2002.834,87.224
2002.916,87.624
2003.001,89.169
2003.086,88.417
2003.163,89.196
2003.248,88.52
2003.330,87.888
2003.415,85.827
2003.497,87.478
2003.582,88.154
2003.667,88.959
2003.749,87.739
2003.834,82.988
2003.916,88.424
2004.001,88.086
2004.086,90.986
2004.165,92.481
2004.250,93.129
2004.332,93.648
2004.416,93.569
2004.498,92.333
2004.583,92.91
2004.668,93.699
2004.750,95.899
2004.834,93.473
2004.916,94.466
2005.001,90.331
2005.086,93.278
2005.163,94.096
2005.248,94.79
2005.330,92.64
2005.415,93.954
2005.497,93.363
2005.582,92.614
2005.667,90.445
2005.749,94.651
2005.834,95.868
2005.916,96.07
2006.001,96.476
2006.086,97.82
2006.163,98.572
2006.248,98.674
2006.330,98.789
2006.415,98.552
2006.497,97.879
2006.582,97.984
2006.667,98.095
2006.749,98.939
2006.834,99.005
2006.916,97.438
2007.001,99.446
2007.086,99.216
2007.163,99.58
2007.248,100.459
2007.330,100.398
2007.415,100.308
2007.497,100.085
2007.582,99.896
2007.667,100.083
2007.749,99.937
2007.834,99.93
2007.916,100.736
2008.001,100.589
2008.086,100.393
2008.165,100.485
2008.250,100.129
2008.332,99.779
2008.416,99.624
2008.498,100.001
2008.583,100.594
2008.668,100.844
2008.750,101.27
2008.834,101.731
2008.916,101.83
2009.001,102.169
2009.086,102.679
2009.163,102.606
2009.248,102.97
2009.330,102.694
2009.415,102.544
2009.497,102.582
2009.582,102.172
2009.667,102.584
2009.749,102.95
2009.834,103.068
2009.916,103.268
2010.001,103.199
2010.086,101.08
2010.163,101.248
2010.248,100.014
2010.330,100.067
2010.415,99.617
2010.497,98.546
2010.582,98.15
2010.667,98.166
2010.749,98.508
2010.834,98.069
2010.916,98.242
2011.001,98.255
2011.086,98.353
2011.163,97.405
2011.248,95.444
2011.330,96.497
2011.415,94.294
2011.497,94.994
2011.582,95.288
2011.667,95.042
2011.749,94.811
2011.834,95.865
2011.916,97.04
2012.001,96.359
2012.086,95.448
2012.165,92.7
2012.250,95.769
2012.332,95.579
2012.416,94.503
2012.498,92.814
2012.583,93.294
2012.668,94.632
2012.750,94.69
2012.834,95.224
2012.916,95.491
2013.001,96.268
2013.086,96.584
2013.163,95.361
2013.248,95.206
2013.330,92.744
2013.415,92.344
2013.497,92.973
2013.582,93.458
2013.667,94.054
2013.749,95.158
2013.834,94.821
2013.916,93.708
2014.001,94.142
2014.086,92.582
2014.163,93.21
2014.248,93.441
2014.330,94.22
2014.415,92.786
2014.497,93.475
2014.582,94.343
2014.667,93.478
2014.749,93.522
2014.834,93.273
2014.916,91.451
2015.001,92.823
2015.086,92.881
2015.163,91.223
2015.248,91.969
2015.330,92.95
2015.415,92.506
2015.497,93.716
2015.582,94.06
2015.667,93.998
2015.749,94.362
2015.834,94.614
2015.916,95.183
2016.001,96.706
2016.086,97.585
2016.165,97.371
2016.250,97.31
2016.332,97.409
2016.416,97.583
2016.498,97.14
2016.583,97.795
2016.668,97.991
2016.750,98.802
2016.834,99.395
2016.916,99.624
2017.001,100.2
2017.086,100.533
2017.163,101.57
2017.248,99.545
2017.330,99.154
2017.415,99.337
2017.497,99.259
2017.582,98.705
2017.667,98.078
2017.749,98.646
2017.834,99.904
2017.916,100.238
2018.001,100.644
2018.086,100.451
2018.163,100.478
2018.248,100.825
2018.330,100.27
2018.415,100.31
2018.497,100.512
2018.582,100.453
2018.667,100.604
2018.749,100.901
2018.834,100.995
2018.916,100.908
2019.001,101.03
2019.086,100.94
2019.163,101.314
2019.248,101.271
2019.330,100.081
2019.415,100.792
2019.497,100.675
2019.582,100.691
2019.667,101.037
2019.749,101.05
2019.834,101.447
2019.916,101.362
2020.001,100.693
2020.086,100.853
2020.165,100.947
2020.250,101.184
2020.332,100.712
2020.416,100.637
2020.498,99.325
2020.583,100.201
2020.668,100.296
2020.750,100.211
2020.834,100.43
2020.916,99.998
2021.001,100.366
2021.086,99.402
2021.163,100.187
2021.248,100.335
2021.330,100.197
